#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 16,     0.40, 3,   boost,   83.98,  98722.00,  218.97,   87.70,   99.46, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.41, 3,   boost,   83.69,  98700.00,  220.84,   89.57,  100.35, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.42, 3,   boost,   83.37,  98683.00,  222.28,   91.02,  101.23, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.43, 3,   boost,   83.03,  98664.00,  223.90,   92.64,  102.11, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.44, 3,   boost,   82.66,  98644.00,  225.60,   94.34,  102.99, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.45, 3,   boost,   82.27,  98644.00,  225.60,   94.34,  103.86, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.46, 3,   boost,   81.85,  98616.00,  227.98,   96.72,  104.73, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.47, 3,   boost,   81.40,  98588.00,  230.37,   99.10,  105.60, 23.7, 0.00, 0.00, 3.99
6, 9920, 16,     0.48, 3,   boost,   80.93,  98578.00,  231.22,   99.95,  106.46, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.49, 3,   boost,   80.43,  98559.00,  232.84,  101.57,  107.31, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.50, 3,   boost,   79.91,  98543.00,  234.20,  102.93,  108.16, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.51, 3,   boost,   79.35,  98525.00,  235.73,  104.47,  109.01, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.52, 3,   boost,   78.78,  98509.00,  237.09,  105.83,  109.85, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.53, 3,   boost,   78.18,  98490.00,  238.71,  107.45,  110.68, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.54, 3,   boost,   77.55,  98473.00,  240.16,  108.89,  111.51, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.55, 3,   boost,   76.90,  98456.00,  241.61,  110.34,  112.33, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.56, 3,   boost,   76.22,  98456.00,  241.61,  110.34,  113.14, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.57, 3,   boost,   75.52,  98437.00,  243.23,  111.96,  113.95, 23.7, 0.00, 0.00, 4.00
